backend,qubits,depth,repetition,shots,expected_state,logical_gate_count,transpiled_gate_count,success_probability,error_rate,counts,job_id
ibm_marrakesh,5,1,4,1000,00000 00000,33,5,0.0,1.0,"{'00000': 986, '01000': 9, '00001': 2, '00010': 2, '10000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,2,0,1000,00000 00000,51,5,0.0,1.0,"{'00000': 993, '01000': 4, '00001': 2, '10000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,2,1,1000,00000 00000,51,5,0.0,1.0,"{'00000': 991, '00100': 2, '01000': 7}",dambkidr85ps73fcicrg
ibm_marrakesh,5,2,2,1000,00000 00000,51,5,0.0,1.0,"{'00000': 989, '01000': 10, '00001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,2,3,1000,00000 00000,51,5,0.0,1.0,"{'00000': 988, '01000': 10, '00010': 1, '00001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,2,4,1000,00000 00000,51,5,0.0,1.0,"{'00000': 991, '00010': 3, '01000': 5, '01100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,4,0,1000,00000 00000,87,5,0.0,1.0,"{'00000': 989, '00011': 1, '00010': 4, '01000': 4, '10000': 1, '01100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,4,1,1000,00000 00000,87,5,0.0,1.0,"{'00000': 985, '00010': 1, '01000': 11, '10000': 1, '00001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,5,4,2,1000,00000 00000,87,5,0.0,1.0,"{'00000': 987, '01000': 9, '00010': 2, '00100': 1, '00001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,4,3,1000,00000 00000,87,5,0.0,1.0,"{'00000': 987, '00010': 3, '01000': 8, '00100': 1, '10000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,4,4,1000,00000 00000,87,5,0.0,1.0,"{'00000': 983, '01000': 11, '00001': 3, '00010': 2, '00100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,8,0,1000,00000 00000,159,5,0.0,1.0,"{'00000': 990, '01000': 7, '00010': 1, '10000': 1, '00001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,8,1,1000,00000 00000,159,5,0.0,1.0,"{'00000': 990, '01000': 5, '00010': 2, '00001': 2, '00100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,8,2,1000,00000 00000,159,5,0.0,1.0,"{'00000': 992, '01000': 4, '00010': 3, '00001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,8,3,1000,00000 00000,159,5,0.0,1.0,"{'00000': 983, '01000': 10, '00001': 5, '00010': 1, '10000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,8,4,1000,00000 00000,159,5,0.0,1.0,"{'00000': 988, '01000': 9, '00010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,5,16,0,1000,00000 00000,303,5,0.0,1.0,"{'00000': 986, '01000': 5, '10100': 1, '00001': 1, '00100': 1, '00010': 3, '10000': 1, '01100': 1, '11000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,16,1,1000,00000 00000,303,5,0.0,1.0,"{'00000': 988, '00001': 1, '01100': 1, '01000': 9, '10000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,16,2,1000,00000 00000,303,5,0.0,1.0,"{'00000': 993, '01000': 4, '00010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,5,16,3,1000,00000 00000,303,5,0.0,1.0,"{'00000': 988, '01000': 8, '10000': 2, '11000': 1, '00010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,16,4,1000,00000 00000,303,5,0.0,1.0,"{'00000': 986, '01000': 10, '00001': 1, '00010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,5,32,0,1000,00000 00000,591,5,0.0,1.0,"{'00000': 991, '01000': 9}",dambkidr85ps73fcicrg
ibm_marrakesh,5,32,1,1000,00000 00000,591,5,0.0,1.0,"{'00000': 990, '00010': 2, '00111': 1, '01000': 6, '00100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,32,2,1000,00000 00000,591,5,0.0,1.0,"{'00000': 983, '01000': 11, '10000': 1, '01010': 1, '00001': 1, '00010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,5,32,3,1000,00000 00000,591,5,0.0,1.0,"{'00000': 991, '01000': 3, '00010': 3, '00001': 2, '10000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,5,32,4,1000,00000 00000,591,5,0.0,1.0,"{'00000': 989, '00001': 3, '01000': 4, '00010': 4}",dambkidr85ps73fcicrg
ibm_marrakesh,6,1,0,1000,000000 000000,40,6,0.0,1.0,"{'000000': 987, '000100': 1, '000001': 1, '100000': 2, '011100': 1, '001000': 7, '000010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,1,1,1000,000000 000000,40,6,0.0,1.0,"{'000000': 991, '001000': 4, '100000': 4, '000100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,1,2,1000,000000 000000,40,6,0.0,1.0,"{'000000': 986, '001000': 2, '000001': 5, '000010': 4, '001010': 1, '100000': 1, '001001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,1,3,1000,000000 000000,40,6,0.0,1.0,"{'000000': 984, '100000': 2, '010000': 1, '001000': 11, '000001': 1, '000100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,1,4,1000,000000 000000,40,6,0.0,1.0,"{'000000': 993, '001000': 4, '000010': 1, '100000': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,6,2,0,1000,000000 000000,62,6,0.0,1.0,"{'000000': 987, '000001': 2, '100000': 6, '000100': 1, '011000': 1, '001000': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,6,2,1,1000,000000 000000,62,6,0.0,1.0,"{'000000': 981, '001000': 12, '100000': 4, '000001': 2, '010000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,2,2,1000,000000 000000,62,6,0.0,1.0,"{'000000': 989, '000001': 3, '100000': 3, '001000': 3, '000010': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,6,2,3,1000,000000 000000,62,6,0.0,1.0,"{'000000': 987, '100000': 3, '001000': 8, '000001': 1, '000010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,2,4,1000,000000 000000,62,6,0.0,1.0,"{'000000': 984, '001000': 8, '100000': 4, '011000': 1, '000010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,6,4,0,1000,000000 000000,106,6,0.0,1.0,"{'000000': 982, '001000': 9, '100000': 6, '000010': 1, '010000': 1, '000100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,4,1,1000,000000 000000,106,6,0.0,1.0,"{'000000': 989, '011100': 1, '001000': 6, '100010': 1, '100000': 2, '000010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,4,2,1000,000000 000000,106,6,0.0,1.0,"{'000000': 981, '001000': 11, '000001': 4, '110000': 1, '010000': 1, '001010': 1, '100000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,4,3,1000,000000 000000,106,6,0.0,1.0,"{'000000': 985, '000010': 2, '100000': 3, '000001': 2, '001000': 7, '010000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,4,4,1000,000000 000000,106,6,0.0,1.0,"{'000000': 985, '001000': 4, '010000': 1, '000010': 2, '000001': 2, '100000': 5, '001010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,8,0,1000,000000 000000,194,6,0.0,1.0,"{'000000': 988, '001000': 4, '000001': 1, '000010': 3, '100000': 1, '000100': 1, '010000': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,6,8,1,1000,000000 000000,194,6,0.0,1.0,"{'000000': 986, '001000': 8, '000001': 1, '000010': 2, '010000': 2, '100000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,8,2,1000,000000 000000,194,6,0.0,1.0,"{'001000': 13, '000000': 984, '100000': 1, '000001': 1, '000010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,8,3,1000,000000 000000,194,6,0.0,1.0,"{'000000': 993, '100000': 2, '001000': 3, '000010': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,6,8,4,1000,000000 000000,194,6,0.0,1.0,"{'000000': 990, '100000': 3, '000001': 1, '001000': 3, '010000': 1, '000010': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,6,16,0,1000,000000 000000,370,6,0.0,1.0,"{'000000': 991, '000010': 1, '000001': 1, '001000': 5, '100000': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,6,16,1,1000,000000 000000,370,6,0.0,1.0,"{'000000': 988, '001000': 6, '010000': 2, '000010': 2, '000100': 1, '100000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,16,2,1000,000000 000000,370,6,0.0,1.0,"{'000000': 986, '001000': 7, '100000': 3, '000001': 1, '000010': 1, '010000': 1, '101000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,16,3,1000,000000 000000,370,6,0.0,1.0,"{'000000': 982, '001000': 12, '000001': 1, '000010': 1, '010000': 2, '000011': 1, '100000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,16,4,1000,000000 000000,370,6,0.0,1.0,"{'000000': 988, '001000': 5, '000100': 1, '000010': 2, '100000': 3, '011000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,32,0,1000,000000 000000,722,6,0.0,1.0,"{'000000': 989, '001000': 6, '100000': 3, '000010': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,6,32,1,1000,000000 000000,722,6,0.0,1.0,"{'000000': 989, '000010': 3, '100000': 2, '001000': 5, '000001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,32,2,1000,000000 000000,722,6,0.0,1.0,"{'000000': 979, '001000': 9, '000010': 3, '010000': 1, '100000': 3, '000001': 4, '011000': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,6,32,3,1000,000000 000000,722,6,0.0,1.0,"{'000000': 982, '001000': 10, '000010': 4, '000001': 1, '000100': 1, '100000': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,6,32,4,1000,000000 000000,722,6,0.0,1.0,"{'000000': 981, '001000': 12, '100000': 4, '000010': 1, '010000': 1, '011000': 1}",dambkidr85ps73fcicrg
